﻿相对路径,文件名,大小(字节),MD5,年份,批次,分类
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP147_QCA953X_100M_QCA9887_FREE_6.3_2020122800.bin.rar,JIKEAP_AP147_QCA953X_100M_QCA9887_FREE_6.3_2020122800.bin.rar,7315592,855823a266741d48f7a7bc123a138e53,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP153Y-H_QCA953X_6.3_2020122800.bin.rar,JIKEAP_AP153Y-H_QCA953X_6.3_2020122800.bin.rar,6174837,7bea9238e0461d3eff3fccf193b41831,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP185W_QCA934X_6.3_2020122800.bin.rar,JIKEAP_AP185W_QCA934X_6.3_2020122800.bin.rar,6173790,0df14791508135eb868d208b653122e5,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP220G_QCA956X_1000M_QCA9886_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP220G_QCA956X_1000M_QCA9886_EPORT_6.3_2020122800.bin.rar,7443181,70f1e8362fe454adc29040d74824c3ed,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP223G_QCA956X_1000M_QCA9886_EPORT_6.3_2020122800.bin.rar,JIKEAP_AP223G_QCA956X_1000M_QCA9886_EPORT_6.3_2020122800.bin.rar,7420347,686303588c559ea0193067019455385b,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP260F-H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,JIKEAP_AP260F-H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,6536520,68d6d8db35452fdd1b71a5bad23c6f52,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP260T-H_QCA953X_100M_AR9X82_6.3_2020122800.bin.rar,JIKEAP_AP260T-H_QCA953X_100M_AR9X82_6.3_2020122800.bin.rar,6174887,528a9e387c5dbb45108581af0976108c,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP261Y-H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,JIKEAP_AP261Y-H_QCA953X_100M_QCA9887_6.3_2020122800.bin.rar,6536499,21777a8906ffcd295af7511b9a528254,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP262Y-H_QCA956X_1000M_QCA9882_6.3_2020122800.bin.rar,JIKEAP_AP262Y-H_QCA956X_1000M_QCA9882_6.3_2020122800.bin.rar,7356017,93a5c15e526f005090da68c86bf2518a,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP263YS_QCA956X_1000M_QCA9880_6.3_2020122800.bin.rar,JIKEAP_AP263YS_QCA956X_1000M_QCA9880_6.3_2020122800.bin.rar,7708205,44b58b4c803cccc4df75583fa128b94d,2020,20201228,集客无线AP_QCA_MIPS
2020/20201228/集客无线AP_QCA_MIPS/JIKEAP_AP266G-H_QCA955X_1000M_QCA9880_6.3_2020122800.bin.rar,JIKEAP_AP266G-H_QCA955X_1000M_QCA9880_6.3_2020122800.bin.rar,7354614,af967e5005cebbba8f38eb984ab6a8cf,2020,20201228,集客无线AP_QCA_MIPS
